,Subj_id,estimates,timeToEstimate,RT,accuracy,set_size,search_type
3012,83,0.8425302826379539,1.7287680000063557,0.3464189999977243,1.0,1,conjunction
3013,83,0.8425302826379539,1.7287680000063557,0.3051060000048019,1.0,1,conjunction
3014,83,0.8425302826379539,1.7287680000063557,0.37780099999747474,1.0,1,conjunction
3015,83,0.9017496635262443,7.757404999997933,0.3617829999980168,1.0,5,conjunction
3016,83,0.9017496635262443,7.757404999997933,0.5182959999997402,1.0,5,conjunction
3017,83,0.9017496635262443,7.757404999997933,0.41131400000461144,1.0,5,conjunction
3018,83,1.6500672947510093,3.328527999999962,0.6184880000031553,1.0,15,conjunction
3019,83,1.6500672947510093,3.328527999999962,0.5162089999966556,1.0,15,conjunction
3020,83,1.6500672947510093,3.328527999999962,0.3980589999972144,1.0,15,conjunction
3021,83,1.6069986541049794,3.17987500000163,0.5648499999942141,1.0,30,conjunction
3022,83,1.6069986541049794,3.17987500000163,0.49837300000106916,1.0,30,conjunction
3023,83,1.6069986541049794,3.17987500000163,1.0584049999937124,1.0,30,conjunction
3024,84,0.5936222403924774,4.2261440000130674,0.4863180000091379,1.0,1,shape
3025,84,0.5936222403924774,4.2261440000130674,0.6180130000025965,1.0,1,shape
3026,84,0.5936222403924774,4.2261440000130674,0.4852760000193375,1.0,1,shape
3027,84,0.8912510220768604,4.660125000013737,0.5096389999996173,1.0,5,shape
3028,84,0.8912510220768604,4.660125000013737,0.5357580000015442,1.0,5,shape
3029,84,0.8912510220768604,4.660125000013737,0.5773610000062035,1.0,5,shape
3030,84,1.1201962387571545,4.205720000000409,0.5240620000009367,1.0,15,shape
